N,L,g,lr,G_lambda,rho_lambda,RA,KA,FS_cos,FS_agree,RL,RC,RE,RJ,RS,Habs,Kneg,EUL,HP,HA,ANCH,RBD,DBL,ALIGN,ALIGN_P90,NS,ND
10.0,2.0,0.6000000238418579,0.05000000074505806,0.026950297140546985,-0.5333184438527507,0.7441136042277018,0.9477549393971761,0.9765814057901564,0.9400390625,0.9373706704297268,17.166666666666668,14.5,17.166666666666668,5.347475818053899,1.3290634951952207,0.6624873011586486,3.0,5.222499999999999,0.05003664982060877,0.22912343750951347,0.09554932116244752,6.640000000000001,0.9146013534316658,0.9447597983686488,0.0007643527619674018,0.001953125
20.0,2.0,0.6000000238418579,0.05000000074505806,0.01282491136822367,-0.4125671593118031,0.9106011291344961,0.969048947095871,0.9753038821305816,0.9465494791666667,0.7725914498161481,15.333333333333334,13.166666666666666,12.5,4.624190224344928,1.1296616465321143,0.6347941823232128,2.3333333333333335,4.3325000000000005,0.05003664982060877,0.2550727604290252,0.09675919864561365,6.580000000000001,0.8481768140988563,0.8972886817025815,0.0004068299416445746,0.0021158854166666665
30.0,2.0,0.6000000238418579,0.05000000074505806,0.007858113360211028,-0.18311203936443604,0.8742266297340393,0.9543132781982422,0.9699228231522081,0.9349609375,15.34976622233692,8.5,6.5,233.83333333333334,2.844961728720501,0.7732145381249419,0.582243483404704,1.3333333333333333,3.5050000000000003,0.05003664982060877,0.09493380644384138,0.1509283338283269,6.594999999999999,nan,nan,0.0002244560034273905,0.0003255208333333333
50.0,2.0,0.6000000238418579,0.05000000074505806,0.007018716587679473,-0.401976200390492,0.9050209323565165,0.8908853232860565,0.9862859157507313,0.9503255208333333,0.8809493141924171,11.166666666666666,10.5,14.0,3.6921589140706703,0.9928617927656106,0.6160320460887568,1.1666666666666667,3.875,0.05003664982060877,0.19464722281071664,0.10340616067740799,6.670000000000001,nan,nan,0.00025373959261276724,-0.00048828125
100.0,2.0,0.6000000238418579,0.05000000074505806,0.0037079495639486012,-0.23707482245199668,0.971898098786672,0.827017625172933,0.9882469016366396,0.9430989583333333,1.40007882323144,11.5,12.166666666666666,24.833333333333332,2.456794807328358,0.7409980923687005,0.6132286563018403,2.0,4.169999999999999,0.05003664982060877,0.1575811053845888,0.14644426066950156,6.760000000000001,0.8426139329134671,0.8563921359628756,0.00013110817802438243,0.0022786458333333335
150.0,2.0,0.6000000238418579,0.05000000074505806,0.0033672670990918144,0.0159151088910359,0.9548773070176443,0.8390650153160095,0.9868063247234792,0.9404296875,1.0390863991822648,9.166666666666666,10.5,17.666666666666668,1.232237991162317,0.4332062623057855,0.5506731993364454,1.0,3.31,0.05003664982060877,0.1832528180354267,0.257527500370979,6.7299999999999995,nan,nan,0.0002723362085104153,0.0016276041666666667
200.0,2.0,0.6000000238418579,0.05000000074505806,0.002196468250375102,-0.04983122847878583,0.9790072937806448,0.8175981442133585,0.9883579089889959,0.9455729166666667,2.0833073580374353,11.0,13.0,38.833333333333336,1.1771284261407313,0.3712652571984925,0.5664712009567533,2.0,3.635,0.05003664982060877,0.033068783068783074,0.25016712460741286,6.665,nan,nan,9.666138344690174e-05,-0.0009765625
250.0,2.0,0.6000000238418579,0.05000000074505806,0.001958475151129927,0.17471725462893706,0.9847296973069509,0.8839147984981537,0.9948633551647723,0.9609375,2.217865799264593,6.5,6.0,50.666666666666664,0.5291996321084201,0.24587279524058495,0.49593637076758873,1.0,2.965,0.05003664982060877,0.0,0.49003937098245537,6.825,nan,nan,0.00024491016542571575,-0.0006510416666666666
10.0,4.0,0.6000000238418579,0.05000000074505806,0.009421613354144818,-0.735724884981605,0.2206395429869493,0.866765022277832,0.9693774511862893,0.9388020833333334,1.6949926035179244,13.166666666666666,11.333333333333334,36.0,3.2595828355051157,0.8415072556410048,0.6045420058382521,2.0,4.055,0.05003664982060877,0.3611184616841239,0.05718954532923524,6.495000000000001,0.9987692668342323,0.9994482853127823,0.0005709519070522898,0.0016276041666666667
20.0,4.0,0.6000000238418579,0.05000000074505806,0.005196307861871138,-0.6438171666803204,0.39940440903107327,0.864230235417684,0.9746043463868589,0.9471354166666667,1.0010838738653232,13.666666666666666,12.166666666666666,19.0,2.619586516963985,0.7300626692466166,0.6189125933927446,2.0,4.25,0.05003664982060877,0.1918067729532238,0.08065461819220392,6.530000000000001,0.9988506397694357,0.9992710565002857,0.0005690456322882675,0.0011393229166666667
30.0,4.0,0.6000000238418579,0.05000000074505806,0.0036339793577769113,-0.44233925651015,0.5366795013348261,0.8804808060328165,0.974536347812126,0.9413411458333333,1.8036017305526642,11.166666666666666,11.0,36.666666666666664,1.8636897951720393,0.606653102713127,0.6174208813960367,2.5,3.9250000000000003,0.05003664982060877,0.276437681942716,0.07875629510110922,6.539999999999999,0.9994478047639602,0.9997474369296756,0.0004433006924809783,0.0016276041666666667
50.0,4.0,0.6000000238418579,0.05000000074505806,0.0038500652573781173,-0.5862940366282159,0.5501163204511007,0.9044501086076101,0.9911714178904472,0.9667317708333333,2.660469875665449,13.166666666666666,14.0,51.666666666666664,2.003113399827928,0.660802763808222,0.6618764708151692,2.6666666666666665,4.425000000000001,0.05003664982060877,0.17152082954092332,0.0778169435830716,6.64,0.9990272676532922,0.9994256320893538,0.00033328535321996977,-0.0017903645833333333
100.0,4.0,0.6000000238418579,0.05000000074505806,0.00276536742608526,-0.32559730496290884,0.7613520721594492,0.9625632663567861,0.9823281022869501,0.9364583333333333,1.334502704785691,12.666666666666666,9.666666666666666,28.333333333333332,1.5444611693330843,0.5262893858006732,0.5915409642117716,1.8333333333333333,3.8249999999999993,0.05003664982060877,0.030619865571321885,0.1430129214702637,6.55,nan,nan,8.023911747073731e-05,0.0013020833333333333
150.0,4.0,0.6000000238418579,0.05000000074505806,0.002092191849665501,-0.24597096519500636,0.854678730169932,0.9729897876580557,0.9903337219005885,0.9473307291666667,1.7826397897755388,9.333333333333334,10.666666666666666,31.166666666666668,1.516412485601048,0.48995093770450726,0.6498398981520774,2.3333333333333335,3.9249999999999994,0.05003664982060877,0.1797979459174721,0.13619808684711024,6.7700000000000005,nan,nan,0.00011066391053475104,0.0017903645833333333
200.0,4.0,0.6000000238418579,0.05000000074505806,0.001696103707229353,-0.15715977430345687,0.9131110310554504,0.9829802413781484,0.9930174148104932,0.9468098958333333,1.2729036790187176,12.833333333333334,17.0,22.166666666666668,1.0642583659720743,0.3990673597844782,0.634003317773234,2.3333333333333335,4.16,0.05003664982060877,0.01950354609929078,0.21731899165738522,6.81,nan,nan,0.00010558838348027437,-0.00048828125
250.0,4.0,0.6000000238418579,0.05000000074505806,0.0014326131053805332,-0.18483482227084655,0.952751874923706,0.9743217527866364,0.9930167212857214,0.952734375,1.900170273047588,12.5,13.5,37.166666666666664,1.0109027564676278,0.3632945321263108,0.6190540488407082,2.3333333333333335,4.21,0.05003664982060877,0.029051677489177488,0.17801864546297183,6.75,nan,nan,7.880504976274609e-05,0.0
10.0,6.0,0.6000000238418579,0.05000000074505806,0.006920895897928874,-0.7402686185827073,0.03502624908772608,0.8464955190817515,0.9671284923888886,0.9448567708333333,1.0579341622907672,13.0,8.5,20.166666666666668,3.113747956707456,0.6700463458194076,0.6199027815284904,2.0,4.425000000000001,0.05003664982060877,0.4276110973165943,0.0494239426564815,6.47,0.999948432330966,0.9999953953890307,0.0011598243561241617,-0.0006510416666666666
20.0,6.0,0.6000000238418579,0.05000000074505806,0.003396632896651425,-0.4109346790205953,0.09264385591571529,0.8506757418314616,0.9672273338549835,0.9477864583333333,2.22154851942814,8.666666666666666,5.666666666666667,50.0,1.5412020592561824,0.5018635891547899,0.6136916014042669,2.3333333333333335,3.83,0.05003664982060877,0.45041506448770324,0.0644614063213693,6.555,0.9998834253846268,0.9999915112195722,0.000327907064086345,0.00048828125
30.0,6.0,0.6000000238418579,0.05000000074505806,0.0032787342486963033,-0.4980874816329739,0.07104705491413672,0.8092717329661051,0.9766689593863233,0.9461588541666667,2.407835315992543,11.666666666666666,9.666666666666666,57.166666666666664,1.7756594709514648,0.5354756002181696,0.6242879004153646,1.8333333333333333,3.795,0.05003664982060877,0.296948893517521,0.07875693219930198,6.615000000000001,0.9999627109147852,0.999998717705533,0.0007419619079508758,0.0027669270833333335
50.0,6.0,0.6000000238418579,0.05000000074505806,0.0023862565247500384,-0.6096318898803502,0.11132634431123734,0.7714300254980723,0.9859339901339531,0.9563151041666667,2.6929267658086915,9.833333333333334,10.5,55.833333333333336,1.3016688294961776,0.46355526284420767,0.5941707495852784,2.0,3.78,0.05003664982060877,0.434226604448034,0.042583915152866636,6.495,0.9999760717897801,0.9999990030302156,0.0002989124997781478,-0.00048828125
100.0,6.0,0.6000000238418579,0.05000000074505806,0.0015320777079851518,-0.3203083133996053,0.37208718061447144,0.7730324268341064,0.9870981203187816,0.9373697916666667,3.0013151134570095,12.166666666666666,10.833333333333334,61.166666666666664,1.0772614665323188,0.4226341322768184,0.588242480356982,2.5,4.09,0.05003664982060877,0.17163350663795182,0.07642483952128838,6.745,0.9999141420363524,0.9999692834658002,0.00024274937048013312,0.0009765625
150.0,6.0,0.6000000238418579,0.05000000074505806,0.001184501489443663,-0.2971505250063499,0.5277323126792908,0.8188404738903046,0.9896346124092061,0.94453125,2.987497833620557,13.166666666666666,13.666666666666666,62.833333333333336,0.8642485873258754,0.3779772305581634,0.5799930558234636,3.0,4.305000000000001,0.05003664982060877,0.124087836785668,0.09959428965282653,6.819999999999999,nan,nan,0.00012632933831361695,0.0009765625
200.0,6.0,0.6000000238418579,0.05000000074505806,0.0011249786795288095,-0.3126956437808653,0.5573342318336169,0.8037076195081075,0.989479249412619,0.9473958333333333,2.9999242404917497,11.833333333333334,11.333333333333334,59.333333333333336,0.8952113527859081,0.3725274816732065,0.5887954425626584,2.8333333333333335,4.125,0.05003664982060877,0.0974245065567681,0.10879902619955144,6.780000000000001,nan,nan,0.0002479030408072587,0.0013020833333333333
250.0,6.0,0.6000000238418579,0.05000000074505806,0.0009153560073400912,-0.3170416773918774,0.6901919394731522,0.8307060897350311,0.9944435367009674,0.9535807291666667,2.1415916292848975,11.833333333333334,12.833333333333334,40.666666666666664,0.8406452875280963,0.34346938517120434,0.5482170183763486,2.6666666666666665,4.165,0.05003664982060877,0.0435274863240965,0.1307393977478102,6.835,nan,nan,0.0001766338663566717,-0.0006510416666666666
10.0,8.0,0.6000000238418579,0.05000000074505806,0.006447128001008036,-0.7857967461142842,0.0026468602882232517,0.8261288106441498,0.969908749061631,0.9541666666666667,14.642781374238572,15.166666666666666,7.0,222.83333333333334,3.6584075913698295,0.6422121154496475,0.622307524143873,1.6666666666666667,5.234999999999999,0.05003664982060877,0.4604000956385883,0.036648281211721305,6.425,0.9999696716737633,0.9999983029406218,0.0008952097223593655,0.0021158854166666665
20.0,8.0,0.6000000238418579,0.05000000074505806,0.0028926802647638167,-0.7213615212179217,0.006973188758517305,0.839771588643392,0.9753499146837166,0.946875,1.4332463914933367,13.833333333333334,9.833333333333334,28.0,1.485821820320006,0.44237191990743424,0.584429613055052,2.0,4.06,0.05003664982060877,0.7528248115047157,0.029017434796013385,6.425,0.9999748113661481,0.9999996778218696,0.0008272919465747153,0.0011393229166666667
30.0,8.0,0.6000000238418579,0.05000000074505806,0.0024617167089253634,-0.693545993623404,0.007986677024746314,0.8004888693491617,0.9747551005543108,0.9469401041666666,1.4709240610230008,14.0,11.0,29.333333333333332,1.3013659624752945,0.4284885837393589,0.5869500919460412,2.0,4.170000000000001,0.05003664982060877,0.45136365650478555,0.046893100956138654,6.454999999999999,0.9999817531439907,0.9999992907057828,0.0005822327702808735,0.001953125
50.0,8.0,0.6000000238418579,0.05000000074505806,0.0018649648375324947,-0.390323954493754,0.03810343216173351,0.7740726967652639,0.9727476437100738,0.9462890625,1.7436753236814713,12.833333333333334,10.166666666666666,37.833333333333336,1.1044654120905624,0.3813474689706951,0.6160770546403816,2.3333333333333335,4.065,0.05003664982060877,0.32152751855527334,0.06921354213232432,6.594999999999999,0.9999689051156652,0.9999985955646848,0.0003198644558517853,0.005045572916666667
100.0,8.0,0.6000000238418579,0.05000000074505806,0.0011564975314673333,-0.39096357880011284,0.08382025298972924,0.7211403648058573,0.9812784024462108,0.9381510416666666,3.5520131649909565,11.5,10.666666666666666,63.833333333333336,0.791212352263894,0.3203082425068681,0.56788575543639,1.8333333333333333,3.82,0.05003664982060877,0.26096194182664817,0.06409535813889804,6.614999999999999,nan,nan,0.0002626480421292395,0.00146484375
150.0,8.0,0.6000000238418579,0.05000000074505806,0.0011383674848119132,-0.3365433996312169,0.06441990255067746,0.6988963385423025,0.9840860592153018,0.9354166666666667,1.619710857587404,13.833333333333334,14.166666666666666,30.833333333333332,0.8367846335371588,0.3337784807686866,0.5453557604516286,2.8333333333333335,4.385,0.05003664982060877,0.22059168000948823,0.07097534363533957,6.634999999999999,nan,nan,0.0001675489612536126,-0.0003255208333333333
200.0,8.0,0.6000000238418579,0.05000000074505806,0.0009519846486613307,-0.32767862586966273,0.131025996680061,0.6928103864192963,0.9896768297655126,0.9443359375,1.824208332270463,11.333333333333334,10.666666666666666,36.5,0.7381702088007883,0.31576019442382036,0.5589804920077672,3.0,4.37,0.05003664982060877,0.12772263983504295,0.08134888912204509,6.819999999999999,nan,nan,0.00014788605166674942,0.00016276041666666666
250.0,8.0,0.6000000238418579,0.05000000074505806,0.000877273252046208,-0.33141614448897433,0.16194588939348856,0.6905179520448049,0.9909172557367935,0.9464192708333333,2.6613277400417186,12.666666666666666,11.833333333333334,53.333333333333336,0.6866712080983989,0.311856534919108,0.5643879479958335,2.8333333333333335,4.3500000000000005,0.05003664982060877,0.1305547984461313,0.08686240997297778,6.859999999999999,nan,nan,7.706148995898869e-05,-0.0006510416666666666
